date;feeToken0;feeToken1;feeV;fgV;feeUSD;activeLiquidity;amountV;amountTR;amountVlast;S1%;unb%;multiplier;feeunb
2023-08-25;0.000527953139381703;0.0;0.000527953139381703;9.812785630204952e-20;22.70436612886253;25.0;41.9292065830288;37.936960347896346;41.9292065830288;0.0012591536601968434;2.5866030225452906e-19;4867981863555547.0;1.084542124805882e-19
2023-08-26;1.8272891501344742e-05;0.0015319477277271829;0.00011539395303832194;2.2359304294596425e-20;4.962460421974391;18.75;41.97056788365609;37.950087882158314;41.97056788365609;0.00027494017559685655;5.891766144001034e-20;4666515419604684.0;2.4728077090142207e-20
2023-08-27;5.803547047312836e-09;4.103369049329383e-06;2.657184557602597e-07;2.903095951557343e-20;0.011427092021542356;11.11111111111111;41.965084014050134;37.94836615548716;41.965084014050134;6.331893811324094e-07;7.650121060976346e-20;8276854393355.164;3.2103797304152677e-20
2023-08-28;0.0008845759025125771;0.011678813024136672;0.0016217423592318693;2.998187127243418e-19;69.74223571017512;33.333333333333336;41.95342900391278;37.944687741935915;41.95342900391278;0.0038655776124536033;7.901467387567576e-19;4892227510216429.0;3.314936510710485e-19
2023-08-29;0.0020919156692318776;0.08041238011266327;0.007114082632721537;1.2372796399832644e-18;305.9376386196935;41.666666666666664;41.958995407842906;37.94644778851167;41.958995407842906;0.01695484499467255;3.2605941058805833e-18;5199925057858001.0;1.3681125311548305e-18
2023-08-30;0.00039641235421802564;0.001386114952416893;0.0004830347945381663;1.0685359391068605e-19;20.772674713172645;33.333333333333336;41.73371988083676;37.87073325535772;41.73371988083676;0.00115742089590237;2.821534856222227e-19;4102096748335227.5;1.1775314532359544e-19
2023-08-31;0.0019678850801785027;0.00023039144790104157;0.0019823056630720055;3.659694311120359e-19;85.24808396141569;41.1764705882353;41.759863020813626;37.87997046008681;41.759863020813626;0.00474691610478703;9.661291354428296e-19;4913335009414927.0;4.034542035650966e-19
2023-09-01;0.00011101043535989596;0.008776981601092996;0.0006646613266827695;1.2094917060909664e-19;28.5834347540279;23.529411764705884;41.91864752297418;37.933557303036125;41.91864752297418;0.0015855982145380316;3.1884478864684835e-19;4972946935300975.0;1.3365542309824437e-19
2023-09-02;0.0003732196002783711;0.0;0.0003732196002783711;8.02019499199651e-20;16.05012607958276;25.0;41.88300670128548;37.92191864137771;41.88300670128548;0.0008911003045703408;2.1149233159435776e-19;4213392976722536.5;8.857934741436977e-20
2023-09-03;0.0;0.002162571458567523;0.00013657548987397412;5.238647300782036e-20;5.873362037318214;13.333333333333334;41.91725675791223;37.93310752997499;41.91725675791223;0.00032582163156035817;1.381022447644824e-19;2359278316699412.0;5.788867252636848e-20
