Date,Liquidity,Token0 Price,Token1 Price,Tick,TVL USD,Volume Token 0,Volume Token 1,Volume USD,Fees USD,TX Count,Open,High,Low,Close,Target0,Target1
"1/17/2022, 8:00:00 AM",1263562777643621400,0.07592953,13.170105376233955,256050,331000177.1052088,586.23728171,7685.143504597289,24830120.884614486,74490.36265384348,114,0.07741555,0.07741555,0.07572469,0.07741555,0.07471326,13.384504081537344
"1/18/2022, 8:00:00 AM",1024492159614435700,0.07471326,13.384504081537344,256212,330302342.9856711,452.84223718,6012.244493360113,18953054.559582107,56859.16367874632,112,0.07592953,0.07614341,0.07470824,0.07592953,0.07427432,13.463602913717022
"1/19/2022, 8:00:00 AM",1076288267129973100,0.07427432,13.463602913717022,256271,320845403.35504013,446.08965495,6007.916490648835,18715823.334327318,56147.470002981936,98,0.07471326,0.07471326,0.07386875,0.07471326,0.07389181,13.533299460086084
"1/20/2022, 8:00:00 AM",975183848290034700,0.07389181,13.533299460086084,256322,311932639.6222072,455.09704017,6102.280228610221,18983644.59226731,56950.93377680192,116,0.07427432,0.07513696,0.07389181,0.07427432,0.07016235,14.252656965570704
"1/21/2022, 8:00:00 AM",867771152590262800,0.07016235,14.252656965570704,256840,257758244.9734944,2562.31911986,35832.75021490282,96282374.00409903,288847.12201229704,285,0.07389181,0.07389181,0.06917637,0.07389181,0.06856539,14.584616721083451
"1/22/2022, 8:00:00 AM",844784354424726400,0.06856539,14.584616721083451,257071,233411975.503368,3157.25536673,45745.21308155232,111257655.04127532,333772.965123826,498,0.07022064,0.07136624,0.06755662,0.07022064,0.0697944,14.327797028576354
"1/23/2022, 8:00:00 AM",868955951546561900,0.0697944,14.327797028576354,256893,246813054.15995887,1091.11469587,15727.132468474569,38851108.002736315,116553.32400820892,220,0.06861167,0.07047793,0.06853234,0.06861167,0.06650132,15.037293477641317
"1/24/2022, 8:00:00 AM",813552541997226100,0.06650132,15.037293477641317,257376,243733315.7720848,2557.46401962,38339.05329358653,88417618.87938486,265252.8566381546,411,0.0697217,0.0697217,0.06492909,0.0697217,0.0664722,15.043881123430529
"1/25/2022, 8:00:00 AM",839234011313622100,0.0664722,15.043881123430529,257381,245333780.92866707,783.31050113,11808.152443399067,28685537.527895465,86056.61258368638,153,0.06664057,0.06679795,0.06585809,0.06664057,0.06700134,14.925072406675133
"1/26/2022, 8:00:00 AM",821748991771059100,0.06700134,14.925072406675133,257301,246840661.08330813,1846.10121232,27265.377509646936,69460274.17806219,208380.82253418656,309,0.0664722,0.06957023,0.06575928,0.0664722,0.06519437,15.338747649323416
"1/27/2022, 8:00:00 AM",906813873899107300,0.06519437,15.338747649323416,257575,255406910.84866127,1245.70799123,18725.698572800626,45242378.652709134,135727.1359581274,236,0.06696714,0.06774381,0.0649346,0.06696714,0.06740005,14.836782660048396
"1/28/2022, 8:00:00 AM",884035249234634400,0.06740005,14.836782660048396,257242,256172897.53270105,1110.15539141,16851.143041498988,41228082.42015835,123684.24726047504,164,0.06523004,0.06740005,0.06476117,0.06523004,0.06811746,14.680522112469836
"1/29/2022, 8:00:00 AM",904707418542043300,0.06811746,14.680522112469836,257136,261339635.3390972,590.83257147,8712.888222889798,22349495.590951648,67048.48677285493,151,0.0674387,0.06841295,0.06718846,0.0674387,0.06860954,14.57523066765542
"1/30/2022, 8:00:00 AM",842338666013940700,0.06860954,14.57523066765542,257064,251073319.13757527,523.71585105,7662.906263343323,19866713.633715548,59600.14090114664,115,0.06782097,0.06887461,0.06782097,0.06782097,0.06979192,14.32830533325746
"1/31/2022, 8:00:00 AM",807856402175553500,0.06979192,14.32830533325746,256893,256599236.81777284,650.31812001,9466.676061024904,24337246.11730468,73011.73835191404,163,0.06860974,0.06985464,0.06756838,0.06860974,0.07195745,13.897100133398403
"2/1/2022, 8:00:00 AM",783114970286251300,0.07195745,13.897100133398403,256588,262298358.94447356,675.65278081,9472.464899083549,26048865.17836845,78146.59553510534,121,0.06979192,0.07199201,0.06979192,0.06979192,0.0725828,13.777367519807788
"2/2/2022, 8:00:00 AM",852910809146080300,0.0725828,13.777367519807788,256501,261853072.22754413,755.6680873,10506.578617113564,28402683.286397994,85208.04985919397,163,0.07181799,0.07271682,0.07121292,0.07181799,0.07200019,13.888851114058019
"2/3/2022, 8:00:00 AM",867738977881060900,0.07200019,13.888851114058019,256582,262581485.95898864,775.56420416,10771.053451708483,28583531.405693583,85750.59421708075,168,0.07259545,0.07321787,0.07113181,0.07259545,0.07188659,13.910799651473749
"2/4/2022, 8:00:00 AM",878463482611247900,0.07188659,13.910799651473749,256597,292176570.44656026,1148.62018913,15644.744009585947,44414139.498091154,133242.41849427344,179,0.07203325,0.07475223,0.07188659,0.07203325,0.07260348,13.773443496752106
"2/5/2022, 8:00:00 AM",915729542735666700,0.07260348,13.773443496752106,256498,284143450.4825773,522.1327156,7201.9566242056435,21649849.435246803,64949.548305740405,135,0.07188659,0.07293293,0.07180695,0.07188659,0.07197317,13.894064584777324
"2/6/2022, 8:00:00 AM",987839088473004800,0.07197317,13.894064584777324,256585,289872685.49898666,234.03038441,3242.1619420751454,9741743.083235271,29225.229249705808,108,0.07268726,0.07277616,0.07181328,0.07268726,0.07168989,13.94896798066285
"2/7/2022, 8:00:00 AM",942131016185797600,0.07168989,13.94896798066285,256625,298258540.86519074,465.93803992,6488.603274802848,20125269.340355173,60375.80802106552,101,0.07196693,0.07232179,0.07134412,0.07196693,0.07070558,14.143153448756475
"2/8/2022, 8:00:00 AM",1068880420175903200,0.07070558,14.143153448756475,256763,295676067.9271059,484.58089128,6838.758103366745,21315048.738120966,63945.146214362896,116,0.07166719,0.07166719,0.07056721,0.07166719,0.072969,13.70444899374097
"2/9/2022, 8:00:00 AM",908779092983760600,0.072969,13.70444899374097,256448,303960725.27086544,451.43881725,6264.42399009093,19822941.726883825,59468.82518065148,126,0.07070474,0.0729698,0.07069045,0.07070474,0.07068605,14.147061866247803
"2/10/2022, 8:00:00 AM",1066281909811193700,0.07068605,14.147061866247803,256766,297723625.0226276,871.5023406,12183.863875438074,38706581.70578597,116119.74511735787,186,0.072969,0.07300907,0.07044845,0.072969,0.06894462,14.504394053272732
"2/11/2022, 8:00:00 AM",902013780874568000,0.06894462,14.504394053272732,257015,287315064.6180405,869.04676146,12380.127681697952,37306055.97727314,111918.16793181942,165,0.07066676,0.07142268,0.06868487,0.07066676,0.06904377,14.4835655129701
"2/12/2022, 8:00:00 AM",1088229429369210800,0.06904377,14.4835655129701,257001,286555305.8666658,1082.62668075,15647.66206844214,45827326.48404344,137481.9794521303,183,0.06894462,0.06988993,0.06852365,0.06894462,0.06832948,14.634970842194013
"2/13/2022, 8:00:00 AM",796771756745912200,0.06832948,14.634970842194013,257105,286428168.40900314,362.66380661,5287.7664091711995,15359143.263794933,46077.42979138479,120,0.06914176,0.06917089,0.06797828,0.06914176,0.06887708,14.518617597300803
"2/14/2022, 8:00:00 AM",934658740737304200,0.06887708,14.518617597300803,257025,291367813.47193,528.97581932,7705.954374619037,22354811.27563325,67064.43382689975,108,0.06836681,0.06909446,0.06809931,0.06836681,0.07123735,14.037578901123268
